ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
3361,0.0,0.694,0.306,-0.8316
3363,0.164,0.658,0.178,-0.0516
3364,0.451,0.549,0.0,0.6249
3365,0.0,0.909,0.091,-0.1027
3366,0.0,0.735,0.265,-0.5709
3377,0.179,0.652,0.168,0.0516
3378,0.318,0.682,0.0,0.6808
3379,0.176,0.824,0.0,0.5046
3387,0.196,0.629,0.175,0.0772
3395,0.183,0.817,0.0,0.5719
3401,0.0,1.0,0.0,0.0
3404,0.119,0.738,0.143,-0.1513
3410,0.0,1.0,0.0,0.0
3412,0.396,0.604,0.0,0.7828
3415,0.328,0.672,0.0,0.5267
3416,0.214,0.786,0.0,0.6652
3419,0.0,1.0,0.0,0.0
3425,0.213,0.787,0.0,0.4019
3428,0.688,0.312,0.0,0.5267
3435,0.0,1.0,0.0,0.0
3439,0.11,0.794,0.096,0.2617
3440,0.0,1.0,0.0,0.0
3442,0.0,1.0,0.0,0.0
3443,0.0,0.672,0.328,-0.3447
3444,0.1,0.9,0.0,0.4404
3445,0.082,0.918,0.0,0.0191
3446,0.0,1.0,0.0,0.0
3447,0.0,1.0,0.0,0.0
3448,0.0,1.0,0.0,0.0
3452,0.268,0.732,0.0,0.9217
3454,0.366,0.634,0.0,0.6369
3455,0.0,1.0,0.0,0.0
3462,0.2,0.8,0.0,0.128
3463,0.116,0.822,0.062,0.34
3464,0.0,0.905,0.095,-0.296
3465,0.0,1.0,0.0,0.0
3466,0.0,1.0,0.0,0.0
3467,0.0,0.756,0.244,-0.3102
3469,0.0,1.0,0.0,0.0
3475,0.279,0.721,0.0,0.4767
3478,0.177,0.738,0.085,0.4569
3483,0.0,0.853,0.147,-0.3412
3484,0.363,0.637,0.0,0.7501
3486,0.0,0.912,0.088,-0.6597
3490,0.0,1.0,0.0,0.0
3491,0.0,1.0,0.0,0.0
3500,0.0,1.0,0.0,0.0
3501,0.068,0.853,0.079,-0.1027
3510,0.102,0.898,0.0,0.1779
3511,0.28,0.72,0.0,0.8008
3517,0.105,0.895,0.0,0.4019
3526,0.0,1.0,0.0,0.0
3527,0.255,0.745,0.0,0.6249
3540,0.0,1.0,0.0,0.0
3542,0.308,0.692,0.0,0.7635
3546,0.0,0.844,0.156,-0.2144
3547,0.11,0.789,0.101,0.0516
3548,0.0,0.804,0.196,-0.296
3550,0.076,0.804,0.121,-0.25
3551,0.263,0.645,0.092,0.6195
3552,0.0,0.834,0.166,-0.1511
3553,0.064,0.936,0.0,0.1779
3554,0.107,0.893,0.0,0.3818
3555,0.355,0.645,0.0,0.9001
3559,0.273,0.727,0.0,0.8051
3564,0.0,1.0,0.0,0.0
3584,0.137,0.863,0.0,0.4019
3585,0.464,0.536,0.0,0.7778
3601,0.176,0.824,0.0,0.4939
3604,0.173,0.827,0.0,0.3182
3605,0.11,0.86,0.03,0.5446
3608,0.197,0.803,0.0,0.4019
3609,0.13,0.8,0.07,0.3716
3623,0.512,0.488,0.0,0.7425
3632,0.0,0.889,0.111,-0.1877
3633,0.133,0.602,0.265,-0.2732
3634,0.0,0.907,0.093,-0.5256
3635,0.244,0.756,0.0,0.4404
3649,0.0,0.828,0.172,-0.4019
3650,0.0,0.787,0.213,-0.4019
3651,0.137,0.788,0.075,0.2023
3652,0.0,0.816,0.184,-0.4019
3653,0.0,1.0,0.0,0.0
3654,0.0,1.0,0.0,0.0
3655,0.226,0.774,0.0,0.4215
3679,0.213,0.787,0.0,0.4019
3694,0.382,0.618,0.0,0.7783
3695,0.044,0.956,0.0,0.0258
3696,0.156,0.752,0.092,0.2751
3706,0.103,0.897,0.0,0.4588
3715,0.0,0.909,0.091,-0.4019
3728,0.149,0.718,0.133,0.0757
3729,0.0,1.0,0.0,0.0
3730,0.041,0.838,0.121,-0.5559
3731,0.0,1.0,0.0,0.0
3732,0.075,0.925,0.0,0.2732
3733,0.0,0.879,0.121,-0.296
3738,0.231,0.769,0.0,0.4019
3739,0.0,1.0,0.0,0.0
3752,0.124,0.876,0.0,0.1779
3753,0.164,0.667,0.169,-0.024
3754,0.225,0.775,0.0,0.7003
3758,0.06,0.82,0.12,-0.2732
3759,0.0,1.0,0.0,0.0
3764,0.113,0.887,0.0,0.2609
3769,0.228,0.772,0.0,0.6808
3770,0.231,0.769,0.0,0.4019
3771,0.189,0.811,0.0,0.4939
3776,0.0,1.0,0.0,0.0
3777,0.0,0.748,0.252,-0.2585
3778,0.0,1.0,0.0,0.0
3779,0.0,1.0,0.0,0.0
3783,0.0,0.803,0.197,-0.4019
3788,0.0,1.0,0.0,0.0
3789,0.251,0.609,0.14,0.4902
3790,0.267,0.733,0.0,0.4588
3797,0.139,0.722,0.139,0.0
3798,0.0,0.761,0.239,-0.296
3800,0.228,0.772,0.0,0.7096
3801,0.057,0.943,0.0,0.1779
3804,0.096,0.904,0.0,0.1779
3805,0.058,0.828,0.113,-0.4215
3808,0.448,0.552,0.0,0.807
3813,0.225,0.775,0.0,0.4404
3820,0.33,0.67,0.0,0.6597
3821,0.25,0.75,0.0,0.3947
3824,0.0,0.859,0.141,-0.4201
3825,0.0,1.0,0.0,0.0
3826,0.0,0.904,0.096,-0.3252
3827,0.0,0.911,0.089,-0.1695
3828,0.0,0.826,0.174,-0.7313
3833,0.0,1.0,0.0,0.0
3845,0.091,0.835,0.073,-0.0772
3846,0.269,0.731,0.0,0.9118
3847,0.163,0.837,0.0,0.5106
3850,0.0,0.862,0.138,-0.5927
3854,0.411,0.589,0.0,0.4201
3855,0.237,0.763,0.0,0.607
3856,0.211,0.789,0.0,0.4939
3864,0.202,0.685,0.113,0.296
3865,0.061,0.891,0.049,0.0849
3866,0.306,0.694,0.0,0.5267
3871,0.205,0.795,0.0,0.6887
3873,0.197,0.803,0.0,0.4019
3874,0.098,0.804,0.098,0.0
3875,0.067,0.875,0.058,0.088
3879,0.0,1.0,0.0,0.0
3880,0.0,1.0,0.0,0.0
3882,0.111,0.779,0.111,0.0
3883,0.0,1.0,0.0,0.0
3884,0.2,0.8,0.0,0.7579
3887,0.0,1.0,0.0,0.0
3889,0.337,0.663,0.0,0.9408
3894,0.102,0.692,0.206,-0.2839
3895,0.0,0.728,0.272,-0.5216
3898,0.0,0.703,0.297,-0.4522
3899,0.0,1.0,0.0,0.0
3900,0.181,0.819,0.0,0.7245
3904,0.0,1.0,0.0,0.0
3905,0.231,0.769,0.0,0.4019
3923,0.0,0.852,0.148,-0.5719
3926,0.247,0.669,0.084,0.5994
3931,0.0,1.0,0.0,0.0
3940,0.125,0.735,0.14,-0.0516
3952,0.133,0.786,0.081,0.0516
3961,0.159,0.793,0.048,0.6151
3962,0.248,0.752,0.0,0.9442
3976,0.0,1.0,0.0,0.0
3994,0.355,0.645,0.0,0.923
3995,0.0,1.0,0.0,0.0
3997,0.026,0.906,0.069,-0.4939
3998,0.0,0.876,0.124,-0.4019
4004,0.0,1.0,0.0,0.0
4014,0.0,1.0,0.0,0.0
4015,0.0,1.0,0.0,0.0
4016,0.075,0.596,0.329,-0.729
4027,0.255,0.745,0.0,0.6249
4040,0.325,0.675,0.0,0.91
4041,0.184,0.816,0.0,0.4019
